State,Year,Quarter,District,Count,Amount
Madhya Pradesh,2019,2,gwalior,1264694,2419928141.075864
Madhya Pradesh,2019,2,sehore,1000398,1498323453.5966249
Madhya Pradesh,2019,2,ujjain,869522,1520840061.8610396
Madhya Pradesh,2019,2,sagar,758405,1228020791.0177653
Madhya Pradesh,2019,2,hoshangabad,733352,1398321448.0271442
Madhya Pradesh,2019,2,rewa,718741,1390495018.41335
Madhya Pradesh,2019,2,dewas,705805,1221413819.1866453
Madhya Pradesh,2019,3,bhopal,15339970,19449113922.050434
Madhya Pradesh,2019,3,indore,11739888,17332954157.395485
Madhya Pradesh,2019,3,jabalpur,2424190,3585214328.9999766
Madhya Pradesh,2019,3,gwalior,1945426,2938882604.9629474
Madhya Pradesh,2019,3,ujjain,1287391,1861274343.6180212
Madhya Pradesh,2019,3,sehore,1227719,1645829156.9951177
Madhya Pradesh,2019,3,dewas,992605,1490521770.4985013
Madhya Pradesh,2019,3,rewa,935300,1453796034.8352695
Madhya Pradesh,2019,3,sagar,935229,1347968051.4244916
Madhya Pradesh,2019,3,dhar,895526,1358217450.0838826
Madhya Pradesh,2019,4,bhopal,18062429,24303685079.877422
Madhya Pradesh,2019,4,indore,15879423,23175261773.68209
Madhya Pradesh,2019,4,jabalpur,2901762,4636477563.561832
Madhya Pradesh,2019,4,gwalior,2509157,4050254390.723213
Madhya Pradesh,2019,4,ujjain,1649254,2534823488.3187428
Madhya Pradesh,2019,4,sehore,1629869,2294177801.2437177
Madhya Pradesh,2019,4,dewas,1251392,2061011651.7828116
Madhya Pradesh,2019,4,sagar,1218814,1853137602.0859163
Madhya Pradesh,2019,4,dhar,1194971,1868318600.635218
Madhya Pradesh,2019,4,rewa,1160674,2078184265.1862037
Madhya Pradesh,2019,1,bhopal,8252290,9878412374.297678
Madhya Pradesh,2019,1,indore,5731364,8462300131.378916
Madhya Pradesh,2019,1,sehore,1598108,1381467050.209204
